nameseq,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,label
MN369046,0.19954352546882326,0.1999987187789959,0.19999999666439636,0.19999999998355267,0.19999999999993498,0.19999999999999976,0.2,0.2,0.2,0.2,0.2,0.2,0
MN306046,0.19954293219657243,0.19999871701671013,0.19999999663458817,0.19999999998375936,0.1999999999999351,0.19999999999999976,0.2,0.2,0.2,0.2,0.2,0.2,0
MF542265,0.1995418692241446,0.19999870993618296,0.1999999966284159,0.19999999998367982,0.19999999999993673,0.19999999999999976,0.2,0.2,0.2,0.2,0.2,0.2,0
KY983587,0.19954127242767705,0.19999870882963788,0.19999999663158047,0.1999999999835978,0.19999999999993487,0.19999999999999976,0.2,0.2,0.2,0.2,0.2,0.2,0
KY621348,0.19954220908010678,0.199998715056914,0.1999999966517835,0.19999999998326962,0.19999999999993187,0.19999999999999973,0.2,0.2,0.2,0.2,0.2,0.2,0
KY967357,0.19954284796058372,0.19999871149476245,0.19999999662975246,0.19999999998356682,0.19999999999993473,0.19999999999999973,0.2,0.2,0.2,0.2,0.2,0.2,0
KY674914,0.1995462759351713,0.19999873003446966,0.19999999669516638,0.1999999999833663,0.1999999999999315,0.19999999999999973,0.2,0.2,0.2,0.2,0.2,0.2,0
KY674919,0.1995446121714236,0.19999872096195953,0.19999999664208928,0.19999999998314075,0.19999999999993157,0.19999999999999973,0.2,0.2,0.2,0.2,0.2,0.2,0
KY684760,0.19954201373418323,0.19999871010896092,0.19999999660444526,0.19999999998345322,0.19999999999993467,0.19999999999999976,0.2,0.2,0.2,0.2,0.2,0.2,0
KY369908,0.19954212567898416,0.1999987098258562,0.1999999966401048,0.19999999998346488,0.199999999999934,0.19999999999999973,0.2,0.2,0.2,0.2,0.2,0.2,0
KY369909,0.1995427972139856,0.19999871486571605,0.19999999663804313,0.19999999998273849,0.19999999999992885,0.19999999999999973,0.2,0.2,0.2,0.2,0.2,0.2,0
KY369910,0.19954074668573868,0.19999870409717196,0.19999999657946688,0.19999999998310766,0.19999999999993018,0.19999999999999973,0.2,0.2,0.2,0.2,0.2,0.2,0
KY369911,0.19954071069370688,0.1999987074988169,0.19999999659184153,0.19999999998323884,0.19999999999993082,0.19999999999999973,0.2,0.2,0.2,0.2,0.2,0.2,0
KY369912,0.19954300354543925,0.19999871975100408,0.19999999664174456,0.19999999998378715,0.19999999999993495,0.19999999999999973,0.2,0.2,0.2,0.2,0.2,0.2,0
KY369913,0.19954225730810893,0.19999871229386657,0.19999999662106185,0.19999999998333662,0.19999999999993234,0.19999999999999973,0.2,0.2,0.2,0.2,0.2,0.2,0
KY369914,0.1995409193117103,0.19999870828486174,0.19999999661181547,0.1999999999838484,0.19999999999993537,0.19999999999999976,0.2,0.2,0.2,0.2,0.2,0.2,0
KU291448,0.19954430241397927,0.1999987152776449,0.19999999663573323,0.19999999998328055,0.1999999999999324,0.19999999999999973,0.2,0.2,0.2,0.2,0.2,0.2,0
KF514430,0.19954539905628055,0.19999871784059556,0.19999999660956366,0.19999999998292448,0.1999999999999303,0.19999999999999973,0.2,0.2,0.2,0.2,0.2,0.2,0
KF514432,0.19954555938318955,0.1999987271024756,0.19999999665161838,0.19999999998365742,0.199999999999934,0.19999999999999973,0.2,0.2,0.2,0.2,0.2,0.2,0
KF514433,0.19954649179638306,0.19999872880003192,0.19999999665842624,0.19999999998362925,0.19999999999993376,0.19999999999999973,0.2,0.2,0.2,0.2,0.2,0.2,0
