nameseq,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,label
NC_045512.2,0.1996186600789721,0.19999925588121295,0.19999999862309364,0.1999999999969479,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT483553.1,0.19961902325987466,0.19999926085458394,0.19999999864108997,0.1999999999969746,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT483554.1,0.19961851085804486,0.19999925917131567,0.19999999863815482,0.19999999999695917,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT483555.1,0.1996191466768097,0.1999992602425958,0.19999999864359458,0.19999999999697443,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT483556.1,0.19961838424002065,0.19999925825371892,0.19999999863522636,0.19999999999695162,0.19999999999999238,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT483557.1,0.19961889029640728,0.19999925926368434,0.19999999864202744,0.19999999999697138,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT483563.1,0.1996244382324,0.19999927330191913,0.19999999867457188,0.1999999999970712,0.19999999999999268,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT483702.1,0.19962229584926033,0.19999926709254345,0.19999999865569934,0.19999999999698645,0.19999999999999243,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477835.1,0.19961912314634825,0.19999925978574506,0.19999999864037074,0.19999999999697582,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477836.1,0.19961934352275523,0.19999926012950042,0.19999999864055912,0.19999999999697243,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477837.1,0.19961927066454446,0.19999926053724926,0.199999998641552,0.19999999999697668,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477838.1,0.19961933111408595,0.19999926097739548,0.1999999986445346,0.1999999999969935,0.19999999999999246,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477839.1,0.19961904766064117,0.1999992595108563,0.19999999863887394,0.1999999999969739,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477840.1,0.19961905045148381,0.1999992583123808,0.19999999863316625,0.19999999999697338,0.19999999999999246,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477841.1,0.19961941496545843,0.1999992609606433,0.19999999864503457,0.19999999999699386,0.19999999999999246,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477842.1,0.19961803192742103,0.1999992528320398,0.19999999861304477,0.1999999999969188,0.19999999999999235,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
