nameseq,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,label
TG13,0.19962067791325233,0.1999992827891837,0.19999999870785046,0.19999999999724888,0.19999999999999307,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
BetaCoV/Wuhan/WH-01/2019,0.1996189314908554,0.19999925764886828,0.19999999863088921,0.19999999999696585,0.19999999999999243,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
BetaCoV/Wuhan/WH-02/2019,0.1996367813032786,0.1996699239708511,0.19967439433759945,0.19967876162989873,0.19968308019712686,0.19968735056383,0.19969157315701658,0.19969574840070417,0.19969987671614153,0.19970395852182066,0.19970799423348803,0.19971163398662328,?
BetaCoV/Wuhan/WH-03/2019,0.1996191559223818,0.1999992593826933,0.19999999863621593,0.19999999999697718,0.19999999999999246,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
BetaCoV/Wuhan/WH-04/2019,0.1996191305780486,0.19999925970739163,0.19999999863895837,0.19999999999698673,0.1999999999999925,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
BetaCoV/Wuhan/WH19002/2019,0.1996429080733972,0.19999936703232926,0.1999999988985537,0.19999999999763102,0.19999999999999396,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
BetaCoV/Wuhan/WH19008/2019?,0.19961898321325705,0.19999925840323352,0.1999999986343643,0.19999999999697748,0.19999999999999246,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
BetaCoV/Wuhan/YS8011/2020,0.19961902616378294,0.19999925803252186,0.19999999863347376,0.19999999999697582,0.19999999999999246,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
BetaCoV/Wuhan/WH19004/2020,0.19961854326785433,0.199999256460663,0.19999999862598916,0.19999999999695384,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
BetaCoV/Wuhan/WH19005/2019,0.19961872952669327,0.19999925783166944,0.19999999863251905,0.19999999999697185,0.19999999999999246,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
BetaCoV/Japan/AI/I-004/2020,0.19961857063212177,0.19999925808755517,0.1999999986381051,0.19999999999697982,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
2019-nCoV/Japan/TY/WK-012/2020,0.19961884838014743,0.199999258847151,0.199999998639639,0.19999999999698245,0.19999999999999246,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
2019-nCoV/Japan/TY/WK-501/2020,0.19961897711752982,0.19999925941071653,0.1999999986404868,0.1999999999969866,0.19999999999999246,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
2019-nCoV/Japan/TY/WK-521/2020,0.19961885165247928,0.1999992591329307,0.19999999863996476,0.1999999999969859,0.19999999999999246,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
2019-nCoV/Japan/KY/V-029/2020,0.19961884838014743,0.19999925890921164,0.19999999863992035,0.19999999999699167,0.1999999999999925,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
SARS-CoV-2/Tongji-01/human/2020/CHN,0.19964051602714086,0.19999928361040112,0.1999999952243588,0.1999999999647172,0.19999999999701762,0.19999999999924722,0.19999999999968177,0.19999999999976417,0.19999999999982754,0.19999999999984736,0.19999999999986812,0.19999999999988982,?
SARS-CoV-2/QLD05/human/2020_FSS918/AUS,0.19954329363120116,0.19999891020539803,0.1999999956964371,0.19999999994819123,0.19999999999958018,0.1999999999999757,0.1999999999999964,0.19999999999999873,0.19999999999999904,0.19999999999999918,0.1999999999999992,0.1999999999999992,?
MP789,0.1998472633469442,0.19999848738340964,0.1999988196814263,0.19999887615302736,0.19999892660075994,0.1999989735540539,0.19999901878619333,0.1999990593829664,0.1999990985728919,0.19999913362641542,0.19999916753884156,0.1999992003399781,?
SARS-CoV-2/HS_8/human/2020/CHN,0.19970505400168714,0.1999990752750295,0.1999999967784406,0.19999999998528065,0.19999999999981838,0.19999999999999363,0.1999999999999989,0.19999999999999987,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,?
SARS-CoV-2/HS_86/human/2020/CHN,0.19970247543021433,0.19999905208110266,0.1999999965709649,0.19999999998522486,0.19999999999981988,0.19999999999999363,0.1999999999999989,0.19999999999999987,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,?
SARS-CoV-2/Hu/DP/Kng/19-027,0.19961951494360505,0.19999926113352742,0.1999999986434489,0.1999999999969746,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
SARS-CoV-2/Hu/DP/Kng/19-020,0.19961848984571928,0.19999925678308086,0.19999999862976525,0.19999999999695797,0.19999999999999238,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
SARS-CoV-2/MHKN-1/human/2020/IRN,0.19958332659306244,0.19999906479864643,0.19999999653102485,0.19999999995516396,0.19999999999889823,0.19999999999987841,0.1999999999999319,0.19999999999994023,0.19999999999994889,0.1999999999999481,0.19999999999994733,0.19999999999994653,?
SARS-CoV-2/WA9-UW6/human/2020/USA,0.19961509177855152,0.19999924050620702,0.19999999857924833,0.19999999999681842,0.19999999999999196,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
SARS-CoV-2/WA8-UW5/human/2020/USA,0.19961791528319167,0.199999251863979,0.1999999986121185,0.19999999999691598,0.1999999999999923,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
SARS-CoV-2/15AW/human/2020/IRN,0.19972343732255413,0.19999943752172392,0.19999999746610964,0.19999999997283754,0.1999999999990623,0.19999999999985996,0.1999999999999176,0.19999999999994678,0.19999999999995832,0.19999999999996404,0.19999999999996354,0.19999999999996299,?
Weifang/WFCDC0002/2020,0.19961960454595237,0.19999926245529742,0.1999999986483997,0.1999999999970041,0.1999999999999925,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
Weifang/WFCDC0001/2020,0.1996205255126432,0.19999926648863509,0.19999999866080465,0.19999999999703466,0.19999999999999254,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
Weifang/WFCDC0003/2020,0.19961902998707665,0.19999925905362775,0.1999999986376864,0.19999999999698048,0.19999999999999243,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
Weifang/WFCDC0004/2020,0.19961934505919682,0.19999926118507397,0.19999999864381052,0.19999999999699425,0.19999999999999246,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
Weifang/WFCDC0016/2020,0.1996194931730021,0.19999926275655983,0.19999999865011275,0.19999999999700802,0.1999999999999925,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
Weifang/WFCDC0018/2020,0.19961955007757376,0.1999992630032092,0.19999999865041754,0.19999999999700677,0.1999999999999925,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
Weifang/WFCDC0020/2020,0.19961887035542805,0.19999925970241442,0.19999999863941853,0.19999999999697846,0.19999999999999243,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
Weifang/WFCDC0015/2020,0.19961916873193986,0.1999992599884683,0.19999999863889623,0.1999999999969841,0.1999999999999925,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
Weifang/WFCDC0019/2020,0.19961945607632425,0.1999992621121083,0.19999999865170326,0.19999999999700824,0.1999999999999925,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
Weifang/WFCDC0014/2020,0.19961963902365928,0.1999992646790072,0.19999999865778587,0.19999999999702422,0.19999999999999257,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
Weifang/WFCDC0028/2020,0.1996196398832949,0.19999926305127166,0.19999999865253384,0.19999999999700377,0.19999999999999246,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
Weifang/WFCDC0026/2020,0.19961971093627684,0.19999926301496035,0.19999999865116092,0.19999999999699716,0.19999999999999243,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
Weifang/WFCDC0029/2020,0.19961931289402735,0.19999926188161898,0.19999999864919243,0.19999999999700266,0.19999999999999246,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
Weifang/WFCDC0009/2020,0.1998009629427876,0.19999944795753705,0.1999998515701024,0.19999987417234194,0.19999989236001975,0.19999990766987877,0.19999992093576405,0.1999999320852057,0.19999994189305292,0.19999995023962444,0.1999999573410915,0.19999996357751126,?
Weifang/WFCDC0006/2020,0.1996966515195959,0.1999994139989112,0.19999999860673828,0.19999999970696739,0.1999999997454404,0.19999999977636584,0.19999999980409194,0.19999999982889385,0.19999999985102346,0.19999999986982897,0.1999999998866143,0.19999999990084977,?
Weifang/WFCDC0017/2020,0.19970955669619478,0.1999994456100811,0.19999999801162038,0.19999999915340047,0.19999999928203738,0.19999999938261293,0.1999999994711643,0.1999999995488735,0.199999999614634,0.19999999967028076,0.19999999971906687,0.19999999975872237,?
Weifang/WFCDC0023/2020,0.1996529820766722,0.1999993272193086,0.19999999876360688,0.19999999999594265,0.19999999999899387,0.19999999999927123,0.19999999999946874,0.19999999999961948,0.19999999999972237,0.1999999999997969,0.19999999999985396,0.19999999999989465,?
Weifang/WFCDC0012/2020,0.1996195538877893,0.19999926314855349,0.19999999865066453,0.19999999999700036,0.19999999999999243,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
Weifang/WFCDC0021/2020,0.19961965262298675,0.1999992643973444,0.19999999865509968,0.1999999999970186,0.19999999999999252,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
Weifang/WFCDC0024/2020,0.19961889987192366,0.19999925719612602,0.19999999862905427,0.19999999999694823,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
SARS-CoV-2/NIHE/human/2020/VIE,0.19962132269315636,0.19999926084550498,0.19999999625725817,0.19999999997870485,0.19999999999927331,0.199999999999914,0.1999999999999723,0.1999999999999807,0.19999999999998486,0.1999999999999862,0.19999999999998752,0.19999999999998894,?
SARS-CoV-2/NIAA05032020/human/2020/ITA,0.1997469678194567,0.19999952971258064,0.19999999737877364,0.19999999996385034,0.19999999999767307,0.19999999999936044,0.19999999999972784,0.19999999999977802,0.19999999999977344,0.19999999999976875,0.19999999999976395,0.19999999999975904,?
SARS-CoV-2/human/USA/CA-CDPH-UC5/2020,0.19967021989036637,0.1999993602519221,0.19999999880214706,0.19999999997496629,0.19999999997993528,0.19999999998191106,0.19999999998355855,0.19999999998507914,0.1999999999863455,0.19999999998752105,0.1999999999884938,0.19999999998940254,?
SARS-CoV-2/341/human/2020/IND,0.19961535742113543,0.19999710537546314,0.19999998665336927,0.19999999962402049,0.19999999997727666,0.19999999999497575,0.1999999999989123,0.19999999999960644,0.19999999999977405,0.19999999999981452,0.19999999999981083,0.19999999999980708,?
SARS-CoV-2/MHKN-4/human/2020/IRN,0.1997813510062646,0.19999971536798813,0.1999999984670952,0.19999999996138895,0.1999999999966514,0.19999999999962337,0.1999999999998867,0.19999999999992282,0.19999999999993448,0.19999999999993345,0.19999999999993234,0.19999999999993126,?
TKYE6182_2020,0.19961840057894084,0.19999925523289575,0.19999999862301998,0.19999999999695162,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
SARS-CoV-2/MBS-Cagliari-1/human/2020/ITA,0.19974024899953258,0.19999951476964645,0.19999999809318814,0.19999999998427098,0.19999999999924567,0.19999999999993898,0.1999999999999714,0.19999999999997717,0.19999999999997997,0.19999999999997975,0.19999999999997947,0.1999999999999792,?
SARS-CoV-2/canine/HKG/20-02756/2020,0.19960801793056304,0.19999923385011278,0.19999999855585468,0.19999999999671222,0.19999999999999166,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
hCoV-19/Guangzhou/GZMU0016/2020,0.19961951932508995,0.19999926329810608,0.19999999865130944,0.19999999999700901,0.1999999999999925,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
hCoV-19/Guangzhou/GZMU0030/2020,0.19961943229796134,0.19999926173546398,0.19999999864845652,0.19999999999700013,0.1999999999999925,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
hCoV-19/Guangzhou/GZMU0031/2020,0.19961977443554102,0.19999926375243543,0.19999999865296,0.19999999999701346,0.19999999999999252,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
hCoV-19/Guangzhou/GZMU0042/2020,0.1996195988431838,0.19999926253677613,0.19999999864964252,0.19999999999699872,0.19999999999999246,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
hCoV-19/Guangzhou/GZMU0044/2020,0.19961960129550105,0.19999926338771032,0.19999999865223153,0.19999999999701087,0.1999999999999925,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
hCoV-19/Guangzhou/GZMU0048/2020,0.19962015226213606,0.19999926496591283,0.19999999865666776,0.199999999997024,0.19999999999999252,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
hCoV-19/Guangzhou/GZMU0014/2020,0.19961934687373742,0.1999992613757964,0.19999999864660695,0.19999999999699833,0.19999999999999243,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
SARS-CoV-2/MBS-Cagliari-2/human/2020/ITA,0.1997255095303203,0.19999864230415101,0.1999999914392,0.199999999829906,0.19999999999222134,0.19999999999925186,0.19999999999981127,0.1999999999999718,0.1999999999999829,0.19999999999998655,0.1999999999999864,0.19999999999998624,?
SARS-CoV-2/Valencia002/human/2020/ESP,0.1997143904657651,0.19999944275319845,0.19999999718514871,0.19999999830199333,0.19999999838591567,0.19999999844315974,0.1999999984987004,0.19999999854590056,0.1999999985918606,0.19999999863660667,0.19999999868016438,0.19999999872255905,?
SARS-CoV-2/Valencia001/human/2020/ESP,0.1996346902946885,0.19999928740820794,0.19999999869111845,0.19999999999703297,0.1999999999999641,0.19999999999997226,0.19999999999997303,0.19999999999997378,0.19999999999997453,0.19999999999997523,0.19999999999997595,0.1999999999999766,?
SARS-CoV-2/human/USA/WA-UW48/2020,0.19962772371277404,0.19999927016743235,0.19999999864467846,0.19999999999698548,0.19999999999999152,0.1999999999999991,0.1999999999999992,0.1999999999999993,0.19999999999999932,0.19999999999999937,0.1999999999999994,0.19999999999999943,?
SARS-CoV-2/human/TWN/CGMH-CGU-04/2020,0.19963386101028965,0.19999928420706514,0.1999999986753558,0.19999999999700968,0.1999999999999542,0.1999999999999625,0.19999999999996354,0.19999999999996448,0.19999999999996543,0.19999999999996632,0.1999999999999672,0.1999999999999681,?
SARS-CoV-2/human/AUS/VIC02/2020,0.19965543053034432,0.1999993324360418,0.19999999876871455,0.19999999999361281,0.19999999999640858,0.19999999999650292,0.1999999999965888,0.19999999999667284,0.19999999999675522,0.19999999999683585,0.1999999999969148,0.19999999999699214,?
SARS-CoV-2/human/AUS/VIC03/2020,0.19963892507938064,0.1999993016065043,0.1999999987183686,0.19999999999711535,0.19999999999993986,0.19999999999995197,0.19999999999995668,0.19999999999995993,0.19999999999996199,0.19999999999996299,0.19999999999996396,0.1999999999999649,?
SARS-CoV-2/human/AUS/VIC04/2020,0.19963698444511938,0.19999929624913712,0.19999999870511911,0.19999999999709986,0.19999999999994844,0.19999999999995666,0.1999999999999578,0.19999999999995888,0.19999999999995993,0.199999999999961,0.19999999999996199,0.19999999999996299,?
SARS-CoV-2/human/AUS/VIC05/2020,0.19963795608496954,0.19999929861329901,0.19999999871171018,0.19999999999710338,0.1999999999999461,0.19999999999995552,0.19999999999995777,0.19999999999995888,0.19999999999995993,0.19999999999996096,0.19999999999996199,0.19999999999996299,?
SARS-CoV-2/human/AUS/VIC06/2020,0.19967852570301978,0.19999938866686134,0.19999999883599923,0.19999999994119122,0.1999999999448847,0.19999999994617212,0.19999999994742884,0.1999999999486611,0.19999999994986928,0.19999999995105375,0.19999999995221487,0.19999999995335305,?
SARS-CoV-2/human/AUS/VIC07/2020,0.19963836089150994,0.1999993008011699,0.19999999871749174,0.19999999999711504,0.19999999999994708,0.1999999999999564,0.19999999999995863,0.19999999999996074,0.19999999999996176,0.19999999999996276,0.19999999999996373,0.19999999999996468,?
SARS-CoV-2/human/USA/WA-UW93/2020,0.19962686043349132,0.19999927349685515,0.1999999986628783,0.19999999999700072,0.1999999999999922,0.19999999999999984,0.19999999999999993,0.19999999999999996,0.19999999999999996,0.19999999999999998,0.19999999999999998,0.19999999999999998,?
SARS-CoV-2/human/USA/WA-UW36/2020,0.19961652618288275,0.19999924579761166,0.1999999985969739,0.19999999999686752,0.19999999999999216,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
SARS-CoV-2/human/USA/WA-UW39/2020,0.1996229264553155,0.19999926184864775,0.19999999863285578,0.1999999999969631,0.1999999999999924,0.19999999999999996,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,?
SARS-CoV-2/Valencia4/human/2020/ESP,0.1996471873564166,0.19999932414212052,0.19999999876684857,0.19999999999712972,0.19999999999987184,0.19999999999989126,0.19999999999990287,0.19999999999990928,0.19999999999991336,0.19999999999991533,0.19999999999991724,0.19999999999991916,?
SARS-CoV-2/Valencia6/human/2020/ESP,0.19964093493006502,0.1999993093010628,0.1999999987355585,0.19999999999707752,0.1999999999998716,0.19999999999988122,0.1999999999998838,0.19999999999988632,0.1999999999998888,0.1999999999998912,0.1999999999998936,0.19999999999989593,?
SARS-CoV-2/human/AUS/VIC08/2020,0.19963818522659704,0.19999929912259584,0.1999999987126754,0.1999999999971038,0.1999999999999461,0.19999999999995552,0.19999999999995777,0.19999999999995888,0.19999999999995993,0.19999999999996096,0.19999999999996199,0.19999999999996299,?
SARS-CoV-2/human/AUS/VIC09/2020,0.19965609476036006,0.19999933214975085,0.1999999987677086,0.19999999999297882,0.19999999999588636,0.19999999999603998,0.1999999999961352,0.19999999999622853,0.19999999999631995,0.19999999999640952,0.1999999999964973,0.19999999999658327,?
SARS-CoV-2/human/AUS/VIC10/2020,0.19965576677414554,0.1999993323136906,0.1999999987685178,0.1999999999931933,0.19999999999604046,0.19999999999614218,0.19999999999623536,0.19999999999632662,0.19999999999641604,0.19999999999650364,0.19999999999658946,0.1999999999966735,?
SARS-CoV-2/human/AUS/VIC11/2020,0.19966583040426022,0.19999935072344574,0.19999999878261993,0.19999999997699627,0.19999999998057885,0.19999999998147563,0.19999999998233153,0.19999999998315426,0.19999999998394488,0.19999999998470436,0.19999999998543372,0.19999999998613394,?
SARS-CoV-2/human/AUS/VIC12/2020,0.1997104467209774,0.19999943453070915,0.1999999973895634,0.1999999984956472,0.1999999985581346,0.19999999861628565,0.19999999867246745,0.1999999987267389,0.1999999987676076,0.19999999880737984,0.19999999884607925,0.199999998883729,?
SARS-CoV-2/human/USA/WA-UW101/2020,0.1996321316339567,0.19999928089157626,0.19999999867587442,0.19999999999701878,0.19999999999997048,0.1999999999999792,0.19999999999998042,0.19999999999998153,0.1999999999999826,0.19999999999998364,0.1999999999999846,0.19999999999998552,?
SARS-CoV-2/human/USA/WA-UW102/2020,0.19964404784156473,0.19999931147045896,0.19999999873787355,0.19999999999695448,0.1999999999998085,0.19999999999984053,0.19999999999986254,0.19999999999987664,0.19999999999988954,0.19999999999990126,0.19999999999991197,0.19999999999992168,?
SARS-CoV-2/human/USA/WA-UW107/2020,0.19965384657607577,0.19999933422141147,0.19999999877782537,0.19999999999577772,0.19999999999874135,0.19999999999890739,0.19999999999904935,0.1999999999991623,0.1999999999992638,0.19999999999935486,0.19999999999942664,0.19999999999949164,?
SARS-CoV-2/human/USA/WA-UW154/2020,0.1996330748163022,0.19999929301787753,0.1999999987119958,0.19999999999712734,0.19999999999999168,0.1999999999999994,0.1999999999999997,0.19999999999999984,0.19999999999999993,0.19999999999999996,0.19999999999999998,0.2,?
SARS-CoV-2/human/USA/WA-UW181/2020,0.1996209029771255,0.19999926126574963,0.19999999864212278,0.19999999999697174,0.19999999999999235,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
SARS-CoV-2/human/USA/UT-00008/2020,0.19963188827282893,0.19999928055565003,0.19999999867980156,0.19999999999705292,0.19999999999998802,0.19999999999999554,0.19999999999999574,0.1999999999999959,0.19999999999999607,0.1999999999999962,0.19999999999999635,0.1999999999999965,?
SARS-CoV-2/human/USA/UT-00009/2020,0.19964553749481206,0.1999993059365564,0.19999999871635776,0.19999999999672616,0.19999999999960819,0.19999999999963558,0.19999999999965498,0.19999999999967347,0.19999999999969112,0.199999999999708,0.19999999999972407,0.19999999999973941,?
hCoV-19/Guangzhou/GZMU0047/2020,0.19961961640613646,0.19999926320882774,0.19999999865162552,0.19999999999700932,0.1999999999999925,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,?
hCoV-19/Spain/Valencia9/2020,0.1998015999338235,0.19999942738840093,0.19999980919246374,0.19999981629992186,0.19999982219090945,0.19999982721023662,0.19999983106358676,0.199999834501417,0.19999983788097409,0.19999984120304554,0.19999984446841093,0.19999984767784207,?
hCoV-19/Spain/Valencia10/2020,0.1998347551556427,0.19999884771554796,0.199999198214759,0.19999922639087264,0.1999992495795693,0.19999926744362262,0.19999928495303776,0.19999930211344033,0.19999931893038597,0.19999933540936457,0.1999993515558007,0.19999936737505408,?
SARS-CoV-2/human/USA/CA-CDPH-UC12/2020,0.19986269327731526,0.1999964124727011,0.1999969817973106,0.19999726026888603,0.19999750306978736,0.19999772454469278,0.19999792941487596,0.19999811600922499,0.199998288386665,0.19999844742604767,0.19999859186142083,0.1999987210497941,?
SARS-CoV-2/human/USA/CA-SCCPHD-UC15/2020,0.1997322314054147,0.1999994767575749,0.1999999932103582,0.19999999472776503,0.1999999952564473,0.19999999572191696,0.19999999614870817,0.19999999653943737,0.19999999689658154,0.1999999972109272,0.19999999749829778,0.19999999775091246,?
SARS-CoV-2/human/USA/CA-SCCPHD-UC17/2020,0.19979085024313023,0.19984709432385953,0.1998579751634592,0.19986785787679504,0.19987698878808624,0.19988542578211657,0.1998933754630273,0.19990078846413034,0.19990769947305648,0.19991407709375927,0.19992008357934554,0.19992567969362662,?
SARS-CoV-2/human/USA/CA-CDPH-UC18/2020,0.1998921045235623,0.19997917269929522,0.1999821099893336,0.19998438319764006,0.19998625921769497,0.19998778187316213,0.19998909320222946,0.19999025410823382,0.19999130080589,0.19999224359396606,0.19999307634936103,0.19999381200444122,?
SARS-CoV-2/human/USA/CA-CDPH-UC19/2020,0.19966098444814723,0.1999993469291789,0.1999999988106177,0.19999999999596,0.19999999999902707,0.1999999999993204,0.19999999999948098,0.1999999999995869,0.1999999999996618,0.19999999999972506,0.19999999999977813,0.19999999999982238,?
SARS-CoV-2/human/USA/CA-CDPH-UC22/2020,0.19987152245326723,0.19999625784884154,0.1999970424526754,0.19999748128953396,0.1999978378757425,0.19999813326692698,0.1999983850607871,0.19999859770160988,0.19999878285750028,0.1999989471863057,0.19999908545847667,0.19999920443957833,?
SARS-CoV-2/human/USA/CA-CDPH-UC23/2020,0.19979332279059744,0.19999953226308886,0.19999993706430796,0.1999999527980922,0.19999996420911978,0.1999999729935461,0.19999997966300198,0.19999998456728685,0.19999998825433163,0.19999999108565503,0.19999999325210574,0.19999999490405385,?
SARS-CoV-2/human/USA/CA-CDPH-UC24/2020,0.1997877926770817,0.19999951086468654,0.19999993048729903,0.19999994508285865,0.19999995563656103,0.19999996396233855,0.19999997078178744,0.19999997635487193,0.1999999806704644,0.19999998411470135,0.19999998690762077,0.1999999892083724,?
SARS-CoV-2/human/USA/CA-CDPH-UC25/2020,0.19989209994823665,0.19998432089686224,0.1999869334312608,0.1999889472464114,0.19999061573168483,0.19999198166674173,0.19999314711176613,0.1999941409592546,0.19999497621336262,0.1999956994153198,0.199996315431215,0.19999683598256118,?
SARS-CoV-2/human/USA/CA-CDPH-UC27/2020,0.19976439103841204,0.19999952200467197,0.19999997636217157,0.19999998209875827,0.19999998561149718,0.1999999883382599,0.19999999052371337,0.19999999230258728,0.19999999377138056,0.19999999496081336,0.19999999590676162,0.19999999667298982,?
